Year,Mon,Week,Open,High,Low,Close,Volume
16,Aug,1,105.424,106.342,104.928,105.934,34029824
16,Aug,2,108.152,108.716,107.712,108.258,24901173
16,Aug,3,108.974,109.686,108.602,109.304,26474281
16,Aug,4,108.162,108.6,107.41,107.98,24721103
16,Aug,5,106.026666667,106.836666667,105.81,106.306666667,26498883
16,Dec,1,109.765,110.515,108.94,109.695,31807429
16,Dec,2,110.386,111.742,109.902,111.232,30397932
16,Dec,3,114.804,116.07,114.418,115.094,39003140
16,Dec,4,116.256,117.062,116.088,116.692,22664578
16,Dec,5,116.785,117.5325,116.13,116.6425,21207132
16,Feb,1,95.854,96.768,94.528,95.576,43027459
16,Feb,2,94.264,95.442,93.334,94.392,46033610
16,Feb,3,96.6325,97.6775,95.6625,96.765,41215217
16,Feb,4,95.988,96.912,95.124,96.268,31639529
16,Feb,5,96.86,98.23,96.65,96.69,34876558
16,Jan,2,101.23,102.566,99.494,100.434,68684402
16,Jan,3,98.8,99.826,96.916,98.506,60414559
16,Jan,4,97.3,99.045,95.5575,97.7925,60616726
16,Jan,5,97.214,98.18,95.472,96.856,73305286
16,Jul,1,95.49,96.46,95.33,95.89,26026540
16,Jul,2,95.545,96.1125,95.125,95.785,28176490
16,Jul,3,97.528,98.262,97.302,97.768,28582113
16,Jul,4,99.47,100.178,99.024,99.55,29513091
16,Jul,5,101.27,102.032,100.518,101.102,51314218
16,Jun,1,98.1366666667,98.55,97.47,98.0333333333,32623257
16,Jun,2,98.658,100.132,98.426,99.016,24972875
16,Jun,3,97.38,98.082,96.45,96.964,38346539
16,Jun,4,95.208,96.152,94.592,95.212,41345784
16,Jun,5,93.5775,94.2575,92.8925,93.9075,39858616
16,Mar,1,100.2775,101.78,99.72,101.4475,41491903
16,Mar,2,101.626,102.138,100.656,101.49,30989641
16,Mar,3,104.468,105.474,104.074,104.958,36127160
16,Mar,4,105.7825,107.065,105.285,106.1075,29586722
16,Mar,5,107.315,108.575,106.855,107.855,30230801
16,May,2,94.146,94.648,92.886,93.794,44863388
16,May,3,92.506,93.072,91.326,91.916,43057115
16,May,4,94.076,94.874,93.328,94.27,42213936
16,May,5,98.176,99.244,97.7,98.942,40677764
16,May,6,99.6,100.4,98.82,99.86,42307212
16,Nov,1,111.0925,111.9575,109.855,110.4375,32481780
16,Nov,2,109.696,110.702,107.918,109.714,41453795
16,Nov,3,108.102,109.322,107.066,108.564,39534810
16,Nov,4,111.225,111.9475,110.6725,111.6375,23533105
16,Nov,5,111.27,112.23,110.576666667,111.183333333,30628330
16,Oct,2,113.436,113.984,112.848,113.304,25205888
16,Oct,3,116.948,117.806,116.104,116.86,41741676
16,Oct,4,117.286,117.62,116.128,117.16,23106286
16,Oct,5,115.724,116.574,115.034,115.938,42045113
16,Oct,6,113.65,114.23,113.2,113.54,26419398
16,Sep,1,106.92,107.4,106.22,107.23,26518190
16,Sep,2,106.905,107.5125,105.7375,106.1775,42200932
16,Sep,3,109.574,111.88,109.18,111.13,78061873
16,Sep,4,114.172,114.804,112.75,113.606,40219127
16,Sep,5,112.79,113.676,112.184,113.03,31276807
17,Apr,2,143.84,144.634,143.35,143.898,21083230
17,Apr,3,142.5125,142.94,141.255,141.9125,21871413
17,Apr,4,141.686,142.304,141.088,141.684,17849700
17,Apr,5,143.978,144.382,143.402,143.858,18230756
17,Feb,1,127.773333333,129.69,127.65,128.786666667,56734250
17,Feb,2,131.026,132.038,130.748,131.68,27289830
17,Feb,3,134.568,135.382,134.112,134.976,27333499
17,Feb,4,136.4875,137.0025,135.9175,136.75,21977214
17,Feb,5,137.11,137.44,136.49,136.96,21870143
17,Jan,2,116.0875,116.965,115.6975,116.6725,25961367
17,Jan,3,118.694,119.532,118.372,119.228,27762152
17,Jan,4,119.5475,120.32,119.2575,119.9425,29086996
17,Jan,5,120.756,121.56,120.55,121.164,24949689
17,Jan,6,121.04,121.51,120.64,121.49,39789248
17,Mar,1,138.89,140.086666667,138.316666667,139.51,28065563
17,Mar,2,139.072,139.54,138.38,139.136,19934456
17,Mar,3,139.856,140.37,139.366,139.866,24307901
17,Mar,4,141.022,141.844,140.136,140.856,25934795
17,Mar,5,142.378,143.704,141.788,143.278,25401751
17,May,1,146.302,147.78,145.728,147.328,35070353
