,Year,Mon,Week,Open,High,Low,Close,Volume,apple,amazon,google,Facebook,microsoft,Day
176,2015,12,4,107.7375,108.235,106.7925,107.8,31658502,35,19,59,40,16,27
177,2016,01,2,101.23,102.566,99.494,100.434,68684402,28,15,72,38,18,10
178,2016,01,3,98.8,99.826,96.916,98.506,60414559,28,15,69,40,18,17
179,2016,01,4,97.3,99.045,95.5575,97.7925,60616726,29,15,73,39,18,24
180,2016,01,5,97.214,98.18,95.472,96.856,73305286,28,14,73,38,18,31
181,2016,02,1,95.854,96.768,94.528,95.576,43027459,26,14,72,37,18,07
182,2016,02,2,94.264,95.442,93.334,94.392,46033610,28,14,70,38,18,14
183,2016,02,3,96.6325,97.6775,95.6625,96.765,41215217,27,13,73,38,18,21
184,2016,02,4,95.988,96.912,95.124,96.268,31639529,26,13,73,38,17,28
185,2016,03,1,100.2775,101.78,99.72,101.4475,41491903,26,13,72,37,17,06
186,2016,03,2,101.626,102.138,100.656,101.49,30989641,25,13,71,38,17,13
187,2016,03,3,104.468,105.474,104.074,104.958,36127160,42,14,67,38,16,20
188,2016,03,4,105.7825,107.065,105.285,106.1075,29586722,30,13,66,38,17,27
189,2016,04,1,108.78,110.0,108.2,109.99,25626163,28,13,69,37,16,03
190,2016,04,2,109.804,110.818,109.036,109.818,28836358,26,13,70,37,16,10
191,2016,04,3,110.568,111.628,109.87,110.69,31914648,26,13,71,37,16,17
192,2016,04,4,107.07,107.69,105.874,106.634,37325362,27,13,70,37,16,24
193,2016,05,2,94.146,94.648,92.886,93.794,44863388,25,13,69,37,16,08
194,2016,05,3,92.506,93.072,91.326,91.916,43057115,25,13,71,38,16,15
195,2016,05,4,94.076,94.874,93.328,94.27,42213936,25,13,68,37,15,22
196,2016,05,5,98.176,99.244,97.7,98.942,40677764,25,13,63,37,15,29
197,2016,06,1,98.1366666667,98.55,97.47,98.0333333333,32623257,25,13,62,36,15,05
198,2016,06,2,98.658,100.132,98.426,99.016,24972875,31,14,61,37,16,12
199,2016,06,3,97.38,98.082,96.45,96.964,38346539,25,13,57,36,15,19
200,2016,06,4,95.208,96.152,94.592,95.212,41345784,25,14,58,36,15,26
201,2016,07,1,95.49,96.46,95.33,95.89,26026540,26,14,56,36,14,03
202,2016,07,2,95.545,96.1125,95.125,95.785,28176490,28,15,56,35,15,10
203,2016,07,3,97.528,98.262,97.302,97.768,28582113,26,14,57,36,15,17
204,2016,07,4,99.47,100.178,99.024,99.55,29513091,27,14,59,36,16,24
205,2016,07,5,101.27,102.032,100.518,101.102,51314218,28,15,59,36,16,31
206,2016,08,1,105.424,106.342,104.928,105.934,34029824,26,14,59,35,15,07
207,2016,08,2,108.152,108.716,107.712,108.258,24901173,26,14,60,34,15,14
208,2016,08,3,108.974,109.686,108.602,109.304,26474281,27,14,65,35,16,21
209,2016,08,4,108.162,108.6,107.41,107.98,24721103,30,15,69,35,16,28
210,2016,09,1,106.92,107.4,106.22,107.23,26518190,66,15,70,35,16,04
211,2016,09,2,106.905,107.5125,105.7375,106.1775,42200932,41,15,74,35,17,11
212,2016,09,3,109.574,111.88,109.18,111.13,78061873,37,15,77,34,17,18
213,2016,09,4,114.172,114.804,112.75,113.606,40219127,36,15,77,35,17,25
214,2016,10,2,113.436,113.984,112.848,113.304,25205888,32,15,77,34,17,09
215,2016,10,3,116.948,117.806,116.104,116.86,41741676,31,15,78,34,16,16
216,2016,10,4,117.286,117.62,116.128,117.16,23106286,41,15,80,34,19,23
217,2016,10,5,115.724,116.574,115.034,115.938,42045113,33,15,77,34,17,30
218,2016,11,1,111.0925,111.9575,109.855,110.4375,32481780,29,15,71,32,16,06
219,2016,11,2,109.696,110.702,107.918,109.714,41453795,31,17,79,34,17,13
220,2016,11,3,108.102,109.322,107.066,108.564,39534810,37,24,69,34,17,20
221,2016,11,4,111.225,111.9475,110.6725,111.6375,23533105,32,21,78,33,17,27
222,2016,12,1,109.765,110.515,108.94,109.695,31807429,31,19,78,32,16,04
223,2016,12,2,110.386,111.742,109.902,111.232,30397932,33,20,76,33,16,11
224,2016,12,3,114.804,116.07,114.418,115.094,39003140,34,19,65,33,15,18
225,2016,12,4,116.256,117.062,116.088,116.692,22664578,36,21,58,33,14,25
226,2017,01,2,116.0875,116.965,115.6975,116.6725,25961367,29,17,72,32,16,08
227,2017,01,3,118.694,119.532,118.372,119.228,27762152,27,16,70,31,15,15
228,2017,01,4,119.5475,120.32,119.2575,119.9425,29086996,26,15,73,32,16,22
229,2017,01,5,120.756,121.56,120.55,121.164,24949689,26,15,74,32,16,29
230,2017,02,1,127.773333333,129.69,127.65,128.786666667,56734250,25,14,74,31,15,05
231,2017,02,2,131.026,132.038,130.748,131.68,27289830,26,14,75,32,15,12
232,2017,02,3,134.568,135.382,134.112,134.976,27333499,25,14,72,32,15,19
233,2017,02,4,136.4875,137.0025,135.9175,136.75,21977214,25,16,74,31,15,26
234,2017,03,1,138.89,140.086666667,138.316666667,139.51,28065563,24,15,74,31,16,05
235,2017,03,2,139.072,139.54,138.38,139.136,19934456,24,14,70,31,15,12
236,2017,03,3,139.856,140.37,139.366,139.866,24307901,29,14,73,31,16,19
237,2017,03,4,141.022,141.844,140.136,140.856,25934795,27,14,73,31,15,26
238,2017,04,2,143.84,144.634,143.35,143.898,21083230,25,13,67,30,14,09
239,2017,04,3,142.5125,142.94,141.255,141.9125,21871413,24,13,69,30,14,16
240,2017,04,4,141.686,142.304,141.088,141.684,17849700,24,13,74,30,14,23
241,2017,04,5,143.978,144.382,143.402,143.858,18230756,25,14,54,30,11,30
